mbid	band	fame_lb_raw
1bc321bc-645a-4533-9643-9f349bd17b5f	0	146
1bc69a93-8020-4e07-8b05-0b63312808fb	4	11242
1bd0debd-1e39-4e7b-ae12-34edfe8495c8	0	204
1bd19c0d-1d84-4c17-80ba-1f7c905b7d69	2	3396
1bd50cb2-09b8-4539-b660-af585cb3e40b	4	10852
1bd7b840-4563-43c5-baa0-f925e796e5fb	0	371
1be6c96d-2a4e-4b65-a125-e515c39febcd	2	2000
1be7cde4-8c97-4a83-8a85-5fd251da4be8	0	320
1c15deec-f162-48dd-a759-f79cc64f5382	4	25837
1c1b65fe-9e02-4019-a32d-a64da6225eea	3	6080
1c1f6f5f-4c48-4baa-a9b5-aa968acb0918	0	438
1c20cad7-1674-428e-9b36-3e85109a89bc	1	923
1c350856-72d5-4ddf-b474-4fddcaf79e8f	0	45
1c42b705-d3fc-452e-93ee-d0030bdd70f3	4	64288
1cd1c6d9-0862-4de9-bba7-e9055a083a75	1	668
1d25e697-096d-43b1-94bd-74e0619c5567	4	21775
1d56d466-364c-4f57-8f3f-8dd0f86d5ae3	2	2220
1d72f6b5-52de-4403-85a4-9c5465242b3b	2	1571
1d7da097-91e9-4bf2-bb54-c6e4bd43b95d	3	8121
1d9ff8bd-4f43-490e-9b05-9934bd809dd6	2	3312
1db398d1-720d-437e-9110-99d8cc0c4df2	1	583
1dbece7e-c6f9-4f94-91e8-47fb4c88e2ab	0	478
1de1abbd-d800-41e6-9967-d3f904b2bb80	3	7645
1de38950-9199-40e7-bcef-645c83aa9c94	1	1353
1deba8c6-0bb9-44b1-a4f2-7216f9f109eb	0	406
1e0961f4-ccc4-455a-8718-04f8674453ea	1	792
1e0bed15-7449-4d00-9532-4319018d7818	0	206
1e107a6a-7350-44d4-b450-e024c99f29de	1	932
1e29feb4-34b3-4032-b054-c13d737cfdf5	2	2724
1e2c7f08-f996-4c6d-8706-9234662618da	1	1056
1e3cd315-62c7-431d-a07b-1af4409a56f3	1	668
1e3f0eae-9b81-4693-ae10-e9eeb339b9aa	0	67
1e4ec3bd-9e57-4742-8022-11b4c9397035	3	9675
1e882508-f664-4abb-919a-8e266f2fad63	4	14012
1e8a2bc5-98e4-4bac-ae61-d189e43fc992	0	71
1e9aa4bd-9689-4535-9665-7f661d63d1c8	3	5714
1eaf159e-e986-42d4-b151-79a8c2512682	1	571
1eb83ccc-c448-4a54-b453-33d939093173	3	5114
1ed5c328-840d-43b6-8455-8d1b4e7f3080	3	4310
1edfad19-cfb0-496d-a204-29c1ca5ca1f9	1	754
1ee5ebf9-5e02-46b8-8b88-71144099cd3a	2	1781
1efb4b2f-ff02-4175-b989-dbb95fa9f99b	1	634
1f696856-fc7e-4449-a9bf-1e848ffe0eff	3	4048
1fb29fcd-28a1-4ace-b5f2-431d085ee9e1	4	14882
1ff1e9b0-1c21-42eb-8a7e-051090ec54ae	2	1532
201d3172-dc3d-4a8d-99d4-f7f801f6efe0	0	275
2026c1d0-356b-4f2d-a3a0-9edaf86bd5dd	0	131
203eae19-65a5-4030-987f-e95f9b8e9a9e	3	9632
20448d45-8090-469d-8cae-725970e2ce19	0	288
206899fe-b2d7-449c-98de-7747ea0fd560	2	1775
20756d24-810f-47f4-8c3a-1c25f08969db	3	5423
209311f4-f9c2-4e44-95c4-f7708f9cc10f	3	4257
20a948d5-4ca9-4066-85e7-52baad59a118	0	387
20b144e3-dd0e-4359-ae0c-0af7188c443b	2	2802
20d49152-11a2-4e55-8251-0d11dc6424fa	2	3168
20db01e0-20a4-49fe-a82e-dfadf117f36f	4	12757
20f4225f-f50e-4382-8b6e-b18448bc037d	4	13994
20f53f4d-f9f1-434a-8772-73aa62e953df	0	151
21085b90-cbe9-40a8-a6e2-c11f4242824f	1	735
210c57b3-91dc-48db-9487-97f30719ea81	3	6665
21144f7f-70f0-4c06-b365-5f1651dc8944	2	2118
211c72e8-573e-4c20-9365-993a1bd11dd6	2	2346
211ed457-7b3e-4b75-8f69-0d22515b99cd	0	496
2123417c-f562-4461-9873-8910ffece5d6	3	3700
215ebb0d-b4e3-4487-af3f-81ffc38a2d33	1	1127
21604715-7fe4-4184-a98f-23d9ff57fc68	1	740
216d2e42-ac1c-43eb-a027-d160df86508e	0	473
218100a9-f66b-46ca-8620-a94e347eb7db	1	912
21848b19-5a20-4a58-b168-0b5f95524cdc	3	4695
21985b14-1b0d-44fe-b357-310b29bba510	4	64861
21c23ae6-096a-4bfe-b1d0-0d49d0e1ea6c	2	3516
21d177ba-3d51-461e-9b3f-ad9a80b419dc	4	68295
21d88fc4-45f0-4bcf-9d0c-46a969993c74	1	852
21ec9aec-c067-4b0f-ba7f-0837bae6e31a	2	3349
220e6bbb-2d31-42fd-861c-c355cc4ea8a9	1	1181
220f98db-2c1a-4c0c-a2d6-eebcc139d53c	3	6372
221dac85-5e1b-478b-a330-369faf1e37bc	3	3752
224a4ffb-4a46-4312-b98a-afda163114ab	2	3362
225143db-6eed-47f1-9d35-cad75ca87106	0	355
22600474-07c1-4557-9d1a-1c919a2d085e	1	847
2260bd1f-6412-48f7-80e2-a452c329b170	0	335
228af6b5-f691-4ed2-a63b-10cc6fcc1144	4	56129
2294c553-58e4-425b-8bab-bee01f2d477a	3	6348
22a183e7-6077-40e0-936d-bfc79558f1df	0	101
22a9be47-5579-44a5-8e90-deb937184793	3	7651
22af4a27-bb80-4408-909b-6125887c80c3	3	6004
22c14c8b-0ba0-4fd5-8285-2f188f69423f	0	280
22c324f9-0049-4dcf-b496-bcc46c06d73c	1	596
22dbe176-9b9b-4c2c-b84b-a2f3aa0cf355	3	8443
22e09fdc-a761-48a1-80d3-1f907d042a0b	0	123
22ed8bd8-5dcc-456d-bf2f-083026358d35	0	274
22fe314d-f914-4745-9f79-eeeb9fb2c370	3	4237
23087a0e-ac98-451c-9a7d-673a19896088	0	290
231475d8-fddb-4d7d-aad9-287e59e4b4ba	4	51312
233ab6b9-51bd-4b8c-8d79-3845d2b65435	3	9347
2342e86e-a876-45f9-b88a-f4502ab7cb23	2	2205
2382bcb9-0f05-492e-b10c-2d6067a1955c	2	2592
2386cd66-e923-4e8e-bf14-2eebe2e9b973	4	212217
2399571e-ca6e-46b8-8d7e-310a45eb9e19	1	1055
23be6929-30fa-40ee-8db0-49e59232bf7d	0	269
23c1b0a0-f9d0-43fc-b823-2bbbbae6f24c	2	1831
23ca355e-a5af-4395-ae62-36e374028dab	1	734
23d9d74d-c95e-46a6-be26-a6075c49747a	4	162987
23e3063d-bc72-45f5-b59d-889cde41a2d5	0	323
240d1688-5cf8-4b22-85e6-adcee26da970	0	42
2470175d-460e-4d55-8fad-aa5d2f3f4f9c	0	204
